Ttest for MCTS evaluation function vs all other methods (Scores on powerClassic),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,p-value,,,,,,,,,,,p-value,,,,,,,,,,,p-value,,,,,,,,,,,p-value
powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=0,1,32,377,0,,0.017856024,,powerClassic,DirectionalGhost,4,AlphaBetaAgent,21,199,1260,0,,0.000201059,,powerClassic,DirectionalGhost,4,MinimaxAgent,1,108,1021,0,,2.73236E-05,,powerClassic,DirectionalGhost,4,ExpectimaxAgent,18,122,1637,0,,0.082407754
powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=0,24,147,1472,0,,,,powerClassic,DirectionalGhost,4,AlphaBetaAgent,22,101,598,0,,,,powerClassic,DirectionalGhost,4,MinimaxAgent,2,104,145,0,,,,powerClassic,DirectionalGhost,4,ExpectimaxAgent,19,127,2702,1,,
powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=0,3,138,2082,0,,,,powerClassic,DirectionalGhost,4,AlphaBetaAgent,23,93,386,0,,,,powerClassic,DirectionalGhost,4,MinimaxAgent,3,221,1538,0,,,,powerClassic,DirectionalGhost,4,ExpectimaxAgent,20,97,832,0,,
powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=0,33,221,1598,0,,,,powerClassic,DirectionalGhost,4,AlphaBetaAgent,24,242,1778,0,,,,powerClassic,DirectionalGhost,4,MinimaxAgent,4,103,596,0,,,,powerClassic,DirectionalGhost,4,ExpectimaxAgent,21,227,942,0,,
powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=0,38,151,1238,0,,,,powerClassic,DirectionalGhost,4,AlphaBetaAgent,25,108,201,0,,,,powerClassic,DirectionalGhost,4,MinimaxAgent,5,133,-34,0,,,,powerClassic,DirectionalGhost,4,ExpectimaxAgent,22,51,639,0,,
powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=0,39,28,191,0,,,,powerClassic,DirectionalGhost,4,AlphaBetaAgent,26,178,2641,0,,,,powerClassic,DirectionalGhost,4,MinimaxAgent,6,92,547,0,,,,powerClassic,DirectionalGhost,4,ExpectimaxAgent,23,162,1818,0,,
powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=0,40,176,1433,0,,,,powerClassic,DirectionalGhost,4,AlphaBetaAgent,27,63,-204,0,,,,powerClassic,DirectionalGhost,4,MinimaxAgent,7,43,667,0,,,,powerClassic,DirectionalGhost,4,ExpectimaxAgent,24,57,882,0,,
powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=0,26,213,1386,0,,,,powerClassic,DirectionalGhost,4,AlphaBetaAgent,28,155,574,0,,,,powerClassic,DirectionalGhost,4,MinimaxAgent,8,226,503,0,,,,powerClassic,DirectionalGhost,4,ExpectimaxAgent,25,185,3244,1,,
powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=0,9,9,-470,0,,,,powerClassic,DirectionalGhost,4,AlphaBetaAgent,29,128,1461,0,,,,powerClassic,DirectionalGhost,4,MinimaxAgent,9,163,1196,0,,,,powerClassic,DirectionalGhost,4,ExpectimaxAgent,26,54,245,0,,
powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=0,10,104,2066,0,,,,powerClassic,DirectionalGhost,4,AlphaBetaAgent,30,48,51,0,,,,powerClassic,DirectionalGhost,4,MinimaxAgent,10,89,10,0,,,,powerClassic,DirectionalGhost,4,ExpectimaxAgent,27,132,578,0,,
powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=0,11,149,1660,0,,,,powerClassic,DirectionalGhost,4,AlphaBetaAgent,31,123,396,0,,,,powerClassic,DirectionalGhost,4,MinimaxAgent,11,83,806,0,,,,powerClassic,DirectionalGhost,4,ExpectimaxAgent,28,176,3053,1,,
powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=0,36,108,1501,0,,,,powerClassic,DirectionalGhost,4,AlphaBetaAgent,32,204,1006,0,,,,powerClassic,DirectionalGhost,4,MinimaxAgent,12,106,393,0,,,,powerClassic,DirectionalGhost,4,ExpectimaxAgent,29,177,1203,0,,
powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=0,13,64,935,0,,,,powerClassic,DirectionalGhost,4,AlphaBetaAgent,33,189,1750,0,,,,powerClassic,DirectionalGhost,4,MinimaxAgent,13,137,1812,0,,,,powerClassic,DirectionalGhost,4,ExpectimaxAgent,30,240,2580,0,,
powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=0,45,140,869,0,,,,powerClassic,DirectionalGhost,4,AlphaBetaAgent,34,124,835,0,,,,powerClassic,DirectionalGhost,4,MinimaxAgent,14,46,674,0,,,,powerClassic,DirectionalGhost,4,ExpectimaxAgent,31,175,734,0,,
powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=0,46,182,1637,0,,,,powerClassic,DirectionalGhost,4,AlphaBetaAgent,35,141,198,0,,,,powerClassic,DirectionalGhost,4,MinimaxAgent,15,72,-143,0,,,,powerClassic,DirectionalGhost,4,ExpectimaxAgent,32,130,1279,0,,
powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=0,47,195,2615,0,,,,powerClassic,DirectionalGhost,4,AlphaBetaAgent,36,147,1402,0,,,,powerClassic,DirectionalGhost,4,MinimaxAgent,16,168,1162,0,,,,powerClassic,DirectionalGhost,4,ExpectimaxAgent,33,194,4035,1,,
powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=0,17,115,2894,0,,,,powerClassic,DirectionalGhost,4,AlphaBetaAgent,37,123,1056,0,,,,powerClassic,DirectionalGhost,4,MinimaxAgent,17,193,2226,0,,,,powerClassic,DirectionalGhost,4,ExpectimaxAgent,34,133,1416,0,,
powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=0,31,119,2710,1,,,,powerClassic,DirectionalGhost,4,AlphaBetaAgent,38,118,642,0,,,,powerClassic,DirectionalGhost,4,MinimaxAgent,18,150,959,0,,,,powerClassic,DirectionalGhost,4,ExpectimaxAgent,35,239,2380,0,,
powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=0,32,129,1670,0,,,,powerClassic,DirectionalGhost,4,AlphaBetaAgent,39,127,182,0,,,,powerClassic,DirectionalGhost,4,MinimaxAgent,19,136,574,0,,,,powerClassic,DirectionalGhost,4,ExpectimaxAgent,36,143,896,0,,
powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=0,20,10,-470,0,,,,powerClassic,DirectionalGhost,4,AlphaBetaAgent,40,173,756,0,,,,powerClassic,DirectionalGhost,4,MinimaxAgent,20,160,339,0,,,,powerClassic,DirectionalGhost,4,ExpectimaxAgent,37,101,1428,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,3,122,2907,1,,,,powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,3,122,2907,1,,,,powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,3,122,2907,1,,,,powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,3,122,2907,1,,
powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,4,116,3513,1,,,,powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,4,116,3513,1,,,,powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,4,116,3513,1,,,,powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,4,116,3513,1,,
powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,5,83,1287,0,,,,powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,5,83,1287,0,,,,powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,5,83,1287,0,,,,powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,5,83,1287,0,,
powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,6,116,854,0,,,,powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,6,116,854,0,,,,powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,6,116,854,0,,,,powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,6,116,854,0,,
powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,7,189,1790,0,,,,powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,7,189,1790,0,,,,powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,7,189,1790,0,,,,powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,7,189,1790,0,,
powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,8,99,2320,0,,,,powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,8,99,2320,0,,,,powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,8,99,2320,0,,,,powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,8,99,2320,0,,
powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,9,200,2019,0,,,,powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,9,200,2019,0,,,,powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,9,200,2019,0,,,,powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,9,200,2019,0,,
powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,10,103,2126,1,,,,powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,10,103,2126,1,,,,powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,10,103,2126,1,,,,powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,10,103,2126,1,,
powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,11,93,2536,1,,,,powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,11,93,2536,1,,,,powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,11,93,2536,1,,,,powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,11,93,2536,1,,
powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,12,71,1658,0,,,,powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,12,71,1658,0,,,,powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,12,71,1658,0,,,,powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,12,71,1658,0,,
powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,13,123,3106,1,,,,powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,13,123,3106,1,,,,powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,13,123,3106,1,,,,powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,13,123,3106,1,,
powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,14,63,1456,0,,,,powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,14,63,1456,0,,,,powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,14,63,1456,0,,,,powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,14,63,1456,0,,
powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,15,44,995,0,,,,powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,15,44,995,0,,,,powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,15,44,995,0,,,,powerClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=1,15,44,995,0,,
