Layout,Ghost Type,Number of Ghosts,Agent,Game,Moves,Score,Outcome
capsuleClassic,RandomGhost,4,MonteCarloAgent -a enableRandomPolicy=0,1,34,-135,0
capsuleClassic,RandomGhost,4,MonteCarloAgent -a enableRandomPolicy=1,1,103,2026,1
capsuleClassic,RandomGhost,4,MinimaxAgent,1,223,-424,0
capsuleClassic,RandomGhost,4,AlphaBetaAgent,1,47,-508,0
capsuleClassic,RandomGhost,4,ExpectimaxAgent,1,67,-468,0
capsuleClassic,RandomGhost,4,MonteCarloAgent -a enableRandomPolicy=0,2,170,229,0
capsuleClassic,RandomGhost,4,MonteCarloAgent -a enableRandomPolicy=1,2,92,178,0
capsuleClassic,RandomGhost,4,MinimaxAgent,2,17,-488,0
capsuleClassic,RandomGhost,4,AlphaBetaAgent,2,28,-429,0
capsuleClassic,RandomGhost,4,ExpectimaxAgent,2,349,-550,0
capsuleClassic,RandomGhost,4,MonteCarloAgent -a enableRandomPolicy=0,3,96,-97,0
capsuleClassic,RandomGhost,4,MonteCarloAgent -a enableRandomPolicy=1,3,9,-460,0
capsuleClassic,RandomGhost,4,MinimaxAgent,3,75,-536,0
capsuleClassic,RandomGhost,4,AlphaBetaAgent,3,22,-483,0
capsuleClassic,RandomGhost,4,ExpectimaxAgent,3,69,-470,0
capsuleClassic,RandomGhost,4,MonteCarloAgent -a enableRandomPolicy=0,4,17,-518,0
capsuleClassic,RandomGhost,4,MonteCarloAgent -a enableRandomPolicy=1,4,51,149,0
capsuleClassic,RandomGhost,4,MinimaxAgent,4,109,-439,0
capsuleClassic,RandomGhost,4,AlphaBetaAgent,4,44,-455,0
capsuleClassic,RandomGhost,4,ExpectimaxAgent,4,21,-482,0
capsuleClassic,RandomGhost,4,MonteCarloAgent -a enableRandomPolicy=0,5,97,302,0
capsuleClassic,RandomGhost,4,MonteCarloAgent -a enableRandomPolicy=1,5,71,508,0
capsuleClassic,RandomGhost,4,MinimaxAgent,5,151,-62,0
capsuleClassic,RandomGhost,4,AlphaBetaAgent,5,87,-87,0
capsuleClassic,RandomGhost,4,ExpectimaxAgent,5,249,-580,0
capsuleClassic,RandomGhost,4,MonteCarloAgent -a enableRandomPolicy=0,6,238,-369,0
capsuleClassic,RandomGhost,4,MonteCarloAgent -a enableRandomPolicy=1,6,91,1838,1
capsuleClassic,RandomGhost,4,MinimaxAgent,6,195,-596,0
capsuleClassic,RandomGhost,4,AlphaBetaAgent,6,50,-451,0
capsuleClassic,RandomGhost,4,ExpectimaxAgent,6,263,-593,0
capsuleClassic,RandomGhost,4,MonteCarloAgent -a enableRandomPolicy=0,7,100,899,0
capsuleClassic,RandomGhost,4,MonteCarloAgent -a enableRandomPolicy=1,7,85,-86,0
capsuleClassic,RandomGhost,4,MinimaxAgent,7,55,-456,0
capsuleClassic,RandomGhost,4,AlphaBetaAgent,7,156,-566,0
capsuleClassic,RandomGhost,4,ExpectimaxAgent,7,100,-500,0
capsuleClassic,RandomGhost,4,MonteCarloAgent -a enableRandomPolicy=0,8,74,-5,0
capsuleClassic,RandomGhost,4,MonteCarloAgent -a enableRandomPolicy=1,8,95,185,0
capsuleClassic,RandomGhost,4,MinimaxAgent,8,66,-467,0
capsuleClassic,RandomGhost,4,AlphaBetaAgent,8,95,-496,0
capsuleClassic,RandomGhost,4,ExpectimaxAgent,8,99,-440,0
capsuleClassic,RandomGhost,4,MonteCarloAgent -a enableRandomPolicy=0,9,171,-172,0
capsuleClassic,RandomGhost,4,MonteCarloAgent -a enableRandomPolicy=1,9,59,-189,0
capsuleClassic,RandomGhost,4,MinimaxAgent,9,39,-429,0
capsuleClassic,RandomGhost,4,AlphaBetaAgent,9,115,-116,0
capsuleClassic,RandomGhost,4,ExpectimaxAgent,9,80,-481,0
capsuleClassic,RandomGhost,4,MonteCarloAgent -a enableRandomPolicy=0,10,32,-123,0
capsuleClassic,RandomGhost,4,MonteCarloAgent -a enableRandomPolicy=1,10,83,116,0
capsuleClassic,RandomGhost,4,MinimaxAgent,10,67,-468,0
capsuleClassic,RandomGhost,4,AlphaBetaAgent,10,200,-1,0
capsuleClassic,RandomGhost,4,ExpectimaxAgent,10,51,-391,0
capsuleClassic,RandomGhost,4,MonteCarloAgent -a enableRandomPolicy=0,11,46,53,0
capsuleClassic,RandomGhost,4,MonteCarloAgent -a enableRandomPolicy=1,11,165,1764,1
capsuleClassic,RandomGhost,4,MinimaxAgent,11,232,-163,0
capsuleClassic,RandomGhost,4,AlphaBetaAgent,11,68,-469,0
capsuleClassic,RandomGhost,4,ExpectimaxAgent,11,125,-336,0
capsuleClassic,RandomGhost,4,MonteCarloAgent -a enableRandomPolicy=0,12,146,53,0
capsuleClassic,RandomGhost,4,MonteCarloAgent -a enableRandomPolicy=1,12,201,398,0
capsuleClassic,RandomGhost,4,MinimaxAgent,12,156,-487,0
capsuleClassic,RandomGhost,4,AlphaBetaAgent,12,26,-446,0
capsuleClassic,RandomGhost,4,ExpectimaxAgent,12,13,-434,0
capsuleClassic,RandomGhost,4,MonteCarloAgent -a enableRandomPolicy=0,13,126,-407,0
capsuleClassic,RandomGhost,4,MonteCarloAgent -a enableRandomPolicy=1,13,114,2215,1
capsuleClassic,RandomGhost,4,MinimaxAgent,13,49,-60,0
capsuleClassic,RandomGhost,4,AlphaBetaAgent,13,67,-488,0
capsuleClassic,RandomGhost,4,ExpectimaxAgent,13,17,-438,0
capsuleClassic,RandomGhost,4,MonteCarloAgent -a enableRandomPolicy=0,14,135,1394,1
capsuleClassic,RandomGhost,4,MonteCarloAgent -a enableRandomPolicy=1,14,173,1756,1
