Layout,Ghost Type,Number of Ghosts,Agent,Game,Moves,Score,Outcome,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,AlphaBetaAgent,1,1,-502,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,AlphaBetaAgent,2,1,-502,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,AlphaBetaAgent,3,1,-502,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,AlphaBetaAgent,4,1,-502,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,AlphaBetaAgent,5,1,-502,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,AlphaBetaAgent,6,1,-502,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,AlphaBetaAgent,7,1,-502,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,AlphaBetaAgent,8,1,-502,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,AlphaBetaAgent,9,1,-502,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,AlphaBetaAgent,10,1,-502,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,AlphaBetaAgent,11,1,-502,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,AlphaBetaAgent,12,1,-502,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,AlphaBetaAgent,13,7,532,1,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,AlphaBetaAgent,14,1,-502,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,AlphaBetaAgent,15,1,-502,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,AlphaBetaAgent,16,1,-502,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,AlphaBetaAgent,17,1,-502,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,AlphaBetaAgent,18,1,-502,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,AlphaBetaAgent,19,1,-502,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,AlphaBetaAgent,20,1,-502,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,AlphaBetaAgent,1,151,-552,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,AlphaBetaAgent,2,86,-487,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,AlphaBetaAgent,3,55,-456,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,AlphaBetaAgent,4,58,-459,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,AlphaBetaAgent,5,25,-446,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,AlphaBetaAgent,6,91,-492,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,AlphaBetaAgent,7,48,-449,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,AlphaBetaAgent,8,270,-471,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,AlphaBetaAgent,9,23,-454,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,AlphaBetaAgent,10,25,-446,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,AlphaBetaAgent,11,146,-547,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,AlphaBetaAgent,12,12,-443,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,AlphaBetaAgent,13,49,-450,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,AlphaBetaAgent,14,174,-145,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,AlphaBetaAgent,15,41,-502,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,AlphaBetaAgent,16,209,-610,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,AlphaBetaAgent,17,102,-503,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,AlphaBetaAgent,18,12,-483,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,AlphaBetaAgent,19,222,-223,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,AlphaBetaAgent,20,20,-421,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,AlphaBetaAgent,1,156,333,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,AlphaBetaAgent,2,354,1485,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,AlphaBetaAgent,3,112,97,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,AlphaBetaAgent,4,197,572,0,,,,,,,,,,,,,,,,,,,,,,,
