Layout,Ghost Type,Number of Ghosts,Agent,Game,Moves,Score,Outcome,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,AlphaBetaAgent,1,8,511,1,,,211.2,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,AlphaBetaAgent,2,7,-498,0,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,AlphaBetaAgent,3,12,507,1,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,AlphaBetaAgent,4,8,511,1,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,AlphaBetaAgent,5,3,516,1,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,AlphaBetaAgent,6,3,516,1,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,AlphaBetaAgent,7,8,511,1,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,AlphaBetaAgent,8,3,516,1,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,AlphaBetaAgent,9,3,516,1,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,AlphaBetaAgent,10,1,-492,0,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,AlphaBetaAgent,11,1,-492,0,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,AlphaBetaAgent,12,3,516,1,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,AlphaBetaAgent,13,1,-492,0,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,AlphaBetaAgent,14,1,-492,0,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,AlphaBetaAgent,15,8,511,1,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,AlphaBetaAgent,16,3,516,1,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,AlphaBetaAgent,17,4,-495,0,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,AlphaBetaAgent,18,3,516,1,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,AlphaBetaAgent,19,8,511,1,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,AlphaBetaAgent,20,8,511,1,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,RandomGhost,5,AlphaBetaAgent,1,370,449,0,,,326.2,,,,,,,,,,,,,,,,,,,,
originalClassic,RandomGhost,5,AlphaBetaAgent,2,489,781,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,RandomGhost,5,AlphaBetaAgent,3,618,1192,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,RandomGhost,5,AlphaBetaAgent,4,768,281,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,RandomGhost,5,AlphaBetaAgent,5,1416,433,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,RandomGhost,5,AlphaBetaAgent,6,1465,284,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,RandomGhost,5,AlphaBetaAgent,7,2343,66,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,RandomGhost,5,AlphaBetaAgent,8,1107,82,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,RandomGhost,5,AlphaBetaAgent,9,313,-124,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,RandomGhost,5,AlphaBetaAgent,10,169,20,0,,,,,,,,,,,,,,,,,,,,,,,
