Layout,Ghost Type,Number of Ghosts,Agent,Game,Moves,Score,Outcome
powerClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=0,1,401,1628,1
powerClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=1,1,195,2234,1
powerClassic,RandomGhost,2,MinimaxAgent,1,793,-13,0
powerClassic,RandomGhost,2,AlphaBetaAgent,1,153,-254,0
powerClassic,RandomGhost,2,ExpectimaxAgent,1,458,-158,0
powerClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=0,2,321,1308,1
powerClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=1,2,106,1723,1
powerClassic,RandomGhost,2,MinimaxAgent,2,700,-101,0
powerClassic,RandomGhost,2,AlphaBetaAgent,2,104,-4,0
powerClassic,RandomGhost,2,ExpectimaxAgent,2,654,365,0
powerClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=0,3,223,1806,1
powerClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=1,3,122,1707,1
powerClassic,RandomGhost,2,MinimaxAgent,3,470,320,0
powerClassic,RandomGhost,2,AlphaBetaAgent,3,2166,-346,0
powerClassic,RandomGhost,2,ExpectimaxAgent,3,3137,-1518,0
powerClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=0,4,435,1794,1
powerClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=1,4,136,1893,1
powerClassic,RandomGhost,2,MinimaxAgent,4,111,-12,0
powerClassic,RandomGhost,2,AlphaBetaAgent,4,9078,-6649,1
powerClassic,RandomGhost,2,ExpectimaxAgent,4,172,677,0
powerClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=0,5,283,2346,1
powerClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=1,5,167,2062,1
powerClassic,RandomGhost,2,MinimaxAgent,5,286,-37,0
powerClassic,RandomGhost,2,AlphaBetaAgent,5,127,-428,0
powerClassic,RandomGhost,2,ExpectimaxAgent,5,126,-227,0
powerClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=0,6,199,1830,1
powerClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=1,6,174,1655,1
powerClassic,RandomGhost,2,MinimaxAgent,6,2554,-1255,0
powerClassic,RandomGhost,2,AlphaBetaAgent,6,166,614,0
powerClassic,RandomGhost,2,ExpectimaxAgent,6,309,251,0
powerClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=0,7,27,-477,0
powerClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=1,7,171,2458,1
powerClassic,RandomGhost,2,MinimaxAgent,7,1814,-805,0
powerClassic,RandomGhost,2,AlphaBetaAgent,7,128,431,0
powerClassic,RandomGhost,2,ExpectimaxAgent,7,78,-378,0
powerClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=0,8,100,59,0
powerClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=1,8,126,2103,1
powerClassic,RandomGhost,2,MinimaxAgent,8,2657,-1758,0
powerClassic,RandomGhost,2,AlphaBetaAgent,8,935,75,0
powerClassic,RandomGhost,2,ExpectimaxAgent,8,2703,-274,1
powerClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=0,9,380,600,0
powerClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=1,9,120,2309,1
powerClassic,RandomGhost,2,MinimaxAgent,9,79,-180,0
powerClassic,RandomGhost,2,AlphaBetaAgent,9,1217,583,0
powerClassic,RandomGhost,2,ExpectimaxAgent,9,5365,-4966,0
